# Top 100 High-Frequency Words
el/la | the | article | El perro y la gata juegan.
un/una | a/an | article | Quiero una manzana y un plátano.
de | of/from | preposition | Soy de Madrid.
que | that/which | conjunction | El libro que leí es bueno.
y | and | conjunction | Tú y yo somos amigos.
en | in/on/at | preposition | Estamos en la casa.
a | to/at | preposition | Voy a la escuela.
ser | to be (regular irr.) | verb | Quiero ser doctor.
él/ella | he/she | pronoun | Él es alto y ella es baja.
no | no/not | adverb | No quiero salir hoy.
tener | to have (irregular) | verb | Tengo un coche nuevo.
un/uno | one | number | Solo tengo un hermano.
por | for/by | preposition | Gracias por tu ayuda.
con | with | preposition | Voy al cine con mis amigos.
su | his/her/their | determiner | Su casa es muy grande.
para | for/in order to | preposition | Este regalo es para ti.
como | like/as | conjunction | Eres fuerte como un toro.
estar | to be (irregular) | verb | Estoy muy cansado.
me | me/myself | pronoun | Me gusta mucho la música.
más | more | adverb | Quiero más agua, por favor.
lo | it/him | pronoun | Lo vi ayer en el supermercado.
o | or | conjunction | ¿Quieres té o café?
pero | but | conjunction | Es caro, pero es bueno.
hacer | to do/to make (irregular) | verb | Tengo que hacer mi tarea.
le | to him/her/it | pronoun | Le di el libro a Juan.
poder | to be able to/can (irregular o->ue) | verb | ¿Puedo ir al baño?
decir | to say/tell (irregular e->i) | verb | Tienes que decir la verdad.
este/esta | this | determiner | Este coche es muy rápido.
ir | to go (irregular) | verb | Voy a ir a la playa mañana.
otro/otra | another/other | adjective | Quiero otro trozo de pastel.
ese/esa | that | determiner | Ese perro es muy amigable.
la | the (fem) / her/it | pronoun | La vi en el parque.
si | if | conjunction | Si llueve, no saldremos.
me | to me/for me | pronoun | Me dio un regalo hermoso.
ya | already/now | adverb | Ya terminé mi trabajo.
ver | to see (irregular) | verb | Quiero ver esa película.
porque | because | conjunction | No fui porque estaba enfermo.
dar | to give (irregular) | verb | Te voy a dar un consejo.
cuando | when | conjunction | Te llamaré cuando llegue.
muy | very | adverb | Estoy muy feliz hoy.
sin | without | preposition | No puedo vivir sin ti.
vez | time/instance | noun | Es la primera vez que vengo aquí.
mucho | much/a lot | adjective | Hace mucho calor hoy.
saber | to know (irregular) | verb | No sé la respuesta.
qué | what | pronoun | ¿Qué quieres comer?
sobre | on/over/about | preposition | El libro está sobre la mesa.
mi | my | determiner | Mi coche es azul.
al | to the (a + el) | preposition | Voy al parque todos los días.
todo | all/every | adjective | Todo el mundo está aquí.
también | also/too | adverb | Yo también quiero un helado.
hasta | until/even | preposition | Trabajo hasta las cinco.
hay | there is/there are (from haber) | verb | Hay mucha gente en la fiesta.
año | year | noun | Feliz año nuevo.
dos | two | number | Tengo dos perros.
querer | to want/love (irregular e->ie) | verb | Quiero un café, por favor.
entre | between/among | preposition | El banco está entre la farmacia y el supermercado.
así | like this/so | adverb | Hazlo así, es más fácil.
primero | first | adjective | Es mi primer día de trabajo.
desde | from/since | preposition | Vivo aquí desde 2010.
grande | big/large | adjective | Su casa es muy grande.
nos | us/to us | pronoun | Nos gusta ir a la playa.
llegar | to arrive (regular -ar) | verb | El tren va a llegar pronto.
pasar | to pass/happen/spend time (regular -ar) | verb | ¿Qué pasa aquí?
sí | yes | adverb | Sí, quiero ir contigo.
ni | nor/neither | conjunction | No quiero ni té ni café.
nosotros | we/us | pronoun | Nosotros somos estudiantes.
tiempo | time/weather | noun | No tengo mucho tiempo libre.
mismo | same | adjective | Tenemos el mismo problema.
bien | well/fine | adverb | Todo está muy bien.
día | day | noun | ¡Buenos días!
donde | where | conjunction | ¿Dónde está el baño?
ahora | now | adverb | Tengo que irme ahora.
poco | little/few | adjective | Tengo poco dinero en efectivo.
cada | each/every | adjective | Leo un libro cada mes.
vida | life | noun | La vida es hermosa.
entonces | then/so | adverb | Entonces, ¿qué hacemos?
menos | less/fewer | adverb | Cuesta menos de diez euros.
nuevo | new | adjective | Tengo un coche nuevo.
solo/solamente | only/just | adverb | Solo quiero un vaso de agua.
tan | so/as | adverb | Es tan alto como su padre.
cosa | thing | noun | ¿Qué es esa cosa?
parte | part/portion | noun | Leí la primera parte del libro.
después | after/later | adverb | Te llamaré después de la cena.
alguno/algún | some/someone | adjective | ¿Tienes algún problema?
siempre | always | adverb | Siempre llego tarde.
creer | to believe/think (regular -er) | verb | Creo que va a llover.
encontrar | to find (irregular o->ue) | verb | No puedo encontrar mis llaves.
forma | form/shape/way | noun | Esta es la mejor forma de hacerlo.
nada | nothing/anything | pronoun | No hay nada en la nevera.
hombre | man | noun | Ese hombre es mi tío.
bien | good/fine | adjective | Está bien.
mujer | woman | noun | Esa mujer es muy inteligente.
algo | something/anything | pronoun | Necesito algo para comer.
parecer | to seem/appear (irregular) | verb | Me parece una buena idea.
queda | remains/is located | verb | La tienda queda cerca de aquí.

# Essential Regular Verbs
hablar | to talk/speak (regular -ar) | verb | Quiero hablar contigo.
tomar | to take/drink (regular -ar) | verb | Voy a tomar un café.
trabajar | to work (regular -ar) | verb | Trabajo todos los días.
esperar | to wait/hope (regular -ar) | verb | Espero que tengas un buen día.
mirar | to look/watch (regular -ar) | verb | Mira ese pájaro.
comprar | to buy (regular -ar) | verb | Quiero comprar un libro.
necesitar | to need (regular -ar) | verb | Necesito más tiempo.
terminar | to finish (regular -ar) | verb | Ya terminé mi tarea.
explicar | to explain (regular -ar) | verb | ¿Puedes explicar esto?
preguntar | to ask (regular -ar) | verb | Quiero hacerte una pregunta.
estudiar | to study (regular -ar) | verb | Estudio español en la escuela.
escuchar | to listen (regular -ar) | verb | Escucha esta canción.
viajar | to travel (regular -ar) | verb | Me encanta viajar.
llamar | to call (regular -ar) | verb | Te voy a llamar mañana.
ayudar | to help (regular -ar) | verb | ¿Me puedes ayudar?
enseñar | to teach/show (regular -ar) | verb | Ella me va a enseñar a bailar.
ganar | to win/earn (regular -ar) | verb | Nuestro equipo ganó el partido.
comer | to eat (regular -er) | verb | Me gusta comer pollo.
beber | to drink (regular -er) | verb | Vamos a beber unas cervezas.
comprender | to understand (regular -er) | verb | No comprendo.
aprender | to learn (regular -er) | verb | Quiero aprender más español.
vender | to sell (regular -er) | verb | Él vende coches usados.
leer | to read (regular -er) | verb | Leo un libro cada semana.
correr | to run (regular -er) | verb | Corro en el parque todas las mañanas.
esconder | to hide (regular -er) | verb | No te escondas.
prometer | to promise (regular -er) | verb | Te prometo que iré.
romper | to break (regular -er, irreg part) | verb | ¡No rompas el vaso!
responder | to answer (regular -er) | verb | Responde a mi pregunta.
creer | to believe/think (regular -er) | verb | Creo en ti.
vivir | to live (regular -ir) | verb | Vivo en Barcelona.
escribir | to write (regular -ir, irreg part) | verb | Ella escribe poemas.
abrir | to open (regular -ir, irreg part) | verb | Abre la ventana, por favor.
recibir | to receive (regular -ir) | verb | Recibí tu carta.
decidir | to decide (regular -ir) | verb | Tienes que decidir pronto.
subir | to go up/climb (regular -ir) | verb | Sube las escaleras.
sufrir | to suffer (regular -ir) | verb | No quiero sufrir más.
ocurrir | to happen/occur (regular -ir) | verb | Ese accidente ocurrió ayer.
añadir | to add (regular -ir) | verb | Añade un poco de sal.

# Essential Irregular & Stem-Changing Verbs
ser | to be (irregular) | verb | Mi padre es alto.
estar | to be (irregular) | verb | Estoy en casa.
tener | to have (irregular) | verb | Tengo dos hermanos.
hacer | to do/to make (irregular) | verb | ¿Qué estás haciendo?
poder | to be able to/can (irregular o->ue) | verb | ¿Puedes ayudarme?
decir | to say/to tell (irregular e->i) | verb | Dime la verdad.
ir | to go (irregular) | verb | Vamos al cine esta noche.
ver | to see (irregular) | verb | Quiero ver la televisión.
dar | to give (irregular) | verb | Te doy mi palabra.
saber | to know facts/how to (irregular) | verb | Lo sé todo.
querer | to want/to love (irregular e->ie) | verb | Te quiero mucho.
pensar | to think (irregular e->ie) | verb | Pienso que es una buena idea.
encontrar | to find (irregular o->ue) | verb | No la encuentro.
volver | to return/go back (irregular o->ue) | verb | Vuelvo a las seis.
salir | to leave/go out (irregular) | verb | Salgo con mis amigos.
conocer | to know people/places (irregular) | verb | Conozco bien esa ciudad.
empezar | to begin/start (irregular e->ie) | verb | La película empieza ahora.
entender | to understand (irregular e->ie) | verb | No entiendo el problema.
pedir | to ask for/request (irregular e->i) | verb | Voy a pedir una pizza.
sentir | to feel/regret (irregular e->ie) | verb | Lo siento mucho.
dormir | to sleep (irregular o->ue) | verb | Quiero dormir ahora.
seguir | to follow/continue (irregular e->i) | verb | Sígueme, por favor.
venir | to come (irregular e->ie) | verb | Ven aquí.
traer | to bring (irregular) | verb | ¿Me traes un vaso de agua?
poner | to put/place (irregular) | verb | Pon el libro en la mesa.
jugar | to play (irregular u->ue) | verb | Jugamos al fútbol los domingos.
cerrar | to close (irregular e->ie) | verb | Cierra la puerta.
recordar | to remember/remind (irregular o->ue) | verb | Recuerdo tu cara.
mostrar | to show (irregular o->ue) | verb | Enséñame tu nuevo coche.
perder | to lose/miss (irregular e->ie) | verb | No quiero perderte.
caer | to fall (irregular) | verb | Las hojas caen en otoño.
oír | to hear/listen (irregular) | verb | No te oigo bien.
conseguir | to get/obtain (irregular e->i) | verb | Consiguió un nuevo trabajo.
servir | to serve (irregular e->i) | verb | Esta herramienta no sirve.
repetir | to repeat (irregular e->i) | verb | Por favor, repita la pregunta.
reír | to laugh (irregular e->i) | verb | Me hace reír.
costar | to cost (irregular o->ue) | verb | ¿Cuánto cuesta este coche?
medir | to measure (irregular e->i) | verb | Mide dos metros de altura.

# Core Adjectives & Adverbs
bueno/buen | good | adjective | Es un buen perro.
malo/mal | bad | adjective | Hace mal tiempo.
grande/gran | big | adjective | Es un gran problema.
pequeño | small | adjective | Este coche es muy pequeño.
nuevo | new | adjective | Mi coche es nuevo.
viejo | old | adjective | Tengo un coche viejo.
alto | tall/high | adjective | Mi hermano es muy alto.
bajo | short/low | adjective | El techo es muy bajo.
largo | long | adjective | El camino es largo.
corto | short (length) | adjective | El pelo de Juan es corto.
fácil | easy | adjective | El examen fue muy fácil.
difícil | hard/difficult | adjective | Aprender chino es difícil.
feliz | happy | adjective | Estoy muy feliz hoy.
triste | sad | adjective | La película fue muy triste.
rápido | fast/quick | adjective | Corre muy rápido.
lento | slow | adjective | Esta tortuga es lenta.
caliente | hot | adjective | El café está muy caliente.
frío | cold | adjective | Hace mucho frío hoy.
bonito | pretty/beautiful | adjective | Qué vestido tan bonito.
feo | ugly | adjective | Ese edificio es muy feo.
caro | expensive | adjective | Ese coche es demasiado caro.
barato | cheap | adjective | Compré esto muy barato.
rico | rich/delicious | adjective | La comida está muy rica.
pobre | poor | adjective | Ellos son de una familia pobre.
